Temporal_Window	Mean_Distance
135	3.138205110993367
180	2.638575552796176
225	2.3269996979081227
270	2.024816755686681
315	1.7470795964910435
360	1.5029259503665864
405	1.425231768657939
450	1.350055814116931
495	1.3054983814308123
540	1.2429543153119886
585	1.173087314247187
630	1.1268835150427245
675	1.0862317686444598
720	1.0545610951172895
765	1.0277066421384453
810	1.0038167505459024
855	0.9772359884806588
900	0.9664947528778869
945	0.9444796933658993
990	0.9274047302664675
1035	0.9103753542291052
1080	0.8935385342595128
1125	0.8655266268609735
1170	0.8475960040456212
1215	0.8459858183936891
1260	0.8298968931512004
1305	0.8181923669330524
1350	0.8083596198961149
1395	0.8064035246050613
1440	0.7922872862346403
1485	0.7823792062781535
1530	0.7693982563651759
1575	0.7555684727351931
